Date,CreateTime,Adjused Sentiment,Symbol
3/28/2017,13:33:12,0.767582253,TSLA
3/28/2017,13:33:20,0.969222898,AAPL
3/28/2017,13:33:24,0.927947753,TSLA
3/28/2017,13:33:39,0.187314506,AAPL
3/28/2017,13:34:31,0.955404029,TSLA
3/28/2017,13:34:47,0.929541776,TSLA
3/28/2017,13:34:55,0.873058439,TSLA
3/28/2017,13:35:09,0.887766438,FB
3/28/2017,13:35:45,-0.055438108,TSLA
3/28/2017,13:35:52,-0.896800103,TSLA
3/28/2017,13:35:53,0.074016891,FB
3/28/2017,13:35:56,0.052750591,TSLA
3/28/2017,13:36:15,0.785783954,TSLA
3/28/2017,13:36:16,0.764356524,TSLA
3/28/2017,13:36:17,0.90810533,TSLA
3/28/2017,13:36:19,0.935114569,FB
3/28/2017,13:36:27,0.843878723,TSLA
3/28/2017,13:36:36,0.064730279,FB
3/28/2017,13:36:45,0.768267344,TSLA
3/28/2017,13:36:45,0.769702531,TSLA
3/28/2017,13:36:53,0.999816218,TSLA
3/28/2017,13:37:03,-0.738865654,FB
3/28/2017,13:37:06,0.90202461,FB
3/28/2017,13:37:11,0.159039217,TSLA
3/28/2017,13:37:16,-0.75830288,TSLA
3/28/2017,13:37:26,-0.173720187,TSLA
3/28/2017,13:37:30,0.927214869,TSLA
3/28/2017,13:37:39,0.800206419,TSLA
3/28/2017,13:37:40,0.797745946,AAPL
3/28/2017,13:37:50,0.029172876,TSLA
3/28/2017,13:38:01,0.068077807,FB
3/28/2017,13:38:04,0.864849675,TSLA
3/28/2017,13:38:08,0.762629158,AAPL
3/28/2017,13:38:08,0.063098389,TSLA
3/28/2017,13:38:26,0.163794267,FB
3/28/2017,13:38:47,-0.836370576,TSLA
3/28/2017,13:38:54,0.98737917,AAPL
3/28/2017,13:39:04,0.862775165,AAPL
3/28/2017,13:39:45,0.762160664,TSLA
3/28/2017,13:39:50,-0.01920648,TSLA
3/28/2017,13:39:52,-0.013519789,FB
3/28/2017,13:39:56,0.822216194,TSLA
3/28/2017,13:40:46,0.777510087,FB
3/28/2017,13:40:56,-0.032407737,TSLA
3/28/2017,13:41:14,0.994230038,FB
3/28/2017,13:41:27,0.809731203,TSLA
3/28/2017,13:41:28,-0.779504281,TSLA
3/28/2017,13:41:32,0.704528147,TSLA
3/28/2017,13:41:44,0.840879792,FB
3/28/2017,13:41:51,0.961074972,TSLA
3/28/2017,13:41:55,0.860097164,TSLA
3/28/2017,13:41:56,-0.006497312,TSLA
3/28/2017,13:42:20,0.79556104,TSLA
3/28/2017,13:42:30,0.790201488,TSLA
3/28/2017,13:42:33,0.947281998,TSLA
3/28/2017,13:42:35,0.195343165,FB
3/28/2017,13:42:40,0.89367585,TSLA
