ID,Symbol,Date,CreateTime,Body,Sentiment
81840481,TWTR,2017-05-02,2017-05-02T20:58:36Z,b'$TWTR.  Day Trader now be buying up TWTR tomorrow and continue the uptrend! Since AAPL was just a little off this quarter. $20 soon!',Bullish
81840171,TWTR,2017-05-02,2017-05-02T20:56:50Z,b'Benzinga&#39;s Option Alert Recap From May 2 https://benzinga.com/z/9388277 $AAOI $OCLR $ETSY $AKAM $KMX $FEYE $ANW $SQ $ZAGG $TWTR',None
81839499,TWTR,2017-05-02,2017-05-02T20:53:19Z,b'$TWTR no Cuban fan# but keep buyin&#39; buddy',Bullish
81839252,TWTR,2017-05-02,2017-05-02T20:51:57Z,b'Social Media Expanding# But Increasingly Poor + Increasingly Mobile $SNAP $TWTR $PINTEREST $TMLR $FB http://bit.ly/2nNCOd1',None
81839240,TWTR,2017-05-02,2017-05-02T20:51:55Z,b'$AMD volume was greater than $F $XLF $TWTR combined.',None
81838914,TWTR,2017-05-02,2017-05-02T20:50:10Z,b'$aapl stagnant just buyout $SQ + $TWTR you can afford the premium',Bullish
81838293,TWTR,2017-05-02,2017-05-02T20:47:04Z,b'@GrooveTrain $twtr shorts thought that as well. Fit is trading a little more than a buck above book value with no debt &amp; the chart ready4Pop',Bullish
81838103,TWTR,2017-05-02,2017-05-02T20:46:14Z,b'$TWTR this is looking like a long term hold and forget it# like FB was @ 40 when &quot;valuation&quot; was what people whined about.',None
81837977,TWTR,2017-05-02,2017-05-02T20:45:42Z,b'$FB zucks is a beast that man wants this earnings to be the best. Show $twtr and $snap who&#39;s boss',None
81837317,TWTR,2017-05-02,2017-05-02T20:42:29Z,b'$AAPL EPS a beat. Revenue miss not a big deal. Look at $TWTR',Bullish
81837148,TWTR,2017-05-02,2017-05-02T20:41:34Z,b'$TWTR Folks# don&#39;t miss adding in the 18&#39;s. We&#39;re at 25 this month',Bullish
81837112,TWTR,2017-05-02,2017-05-02T20:41:26Z,b'How $TWTR  Could Win Out in Streaming TV Through Niche Focus http://bit.ly/2ptJpJ5',Bullish
81836839,TWTR,2017-05-02,2017-05-02T20:40:14Z,b'$TWTR oouch.. big down tomorrow..',Bearish
81836454,TWTR,2017-05-02,2017-05-02T20:38:35Z,b'$TWTR green',Bullish
81836396,TWTR,2017-05-02,2017-05-02T20:38:22Z,b'$TWTR pot smokers.',Bearish
81835426,TWTR,2017-05-02,2017-05-02T20:34:07Z,b'$TWTR $AAPL disappointed... bring the market down.. tomorrow will be a good day ;)',None
81834558,TWTR,2017-05-02,2017-05-02T20:30:24Z,b'$TWTR big short here..see you at $15',None
81832958,TWTR,2017-05-02,2017-05-02T20:23:45Z,b'Twitter Stock Closes Up 4% Following Mark Cuban Endorsement $TWTR @twitter @jack @mcuban http://bit.ly/2pFvpfy',None
81832486,TWTR,2017-05-02,2017-05-02T20:21:49Z,b'Great day for $TWTR longs. Party continues tomorrow.',Bullish
