ID,Symbol,CreateTime,Body,Sentiment
80998973,AAPL,2017-04-24T18:32:32Z,b'$TWTR short squeeze coming - IMO',None
80998223,AAPL,2017-04-24T18:27:34Z,b'$TWTR short squeeze coming - IMO',Bullish
80998211,AAPL,2017-04-24T18:27:26Z,b'$TWTR short squeeze coming - IMO',Bullish
80998077,AAPL,2017-04-24T18:26:32Z,b'$TWTR short squeeze coming - IMO',None
80997861,AAPL,2017-04-24T18:25:00Z,b'$TWTR short squeeze coming - IMO',Bearish
80997548,AAPL,2017-04-24T18:23:01Z,b'$TWTR short squeeze coming - IMO',None
80997348,AAPL,2017-04-24T18:21:33Z,b'$TWTR short squeeze coming - IMO',None
80997292,AAPL,2017-04-24T18:21:15Z,b'$TWTR short squeeze coming - IMO',None
80997259,AAPL,2017-04-24T18:20:59Z,b'$TWTR short squeeze coming - IMO',Bullish
80997214,AAPL,2017-04-24T18:20:45Z,b'$TWTR short squeeze coming - IMO',None
80997023,AAPL,2017-04-24T18:19:32Z,b'$TWTR short squeeze coming - IMO',None
80996999,AAPL,2017-04-24T18:19:30Z,b'$TWTR short squeeze coming - IMO',None
80996669,AAPL,2017-04-24T18:17:22Z,b'$TWTR short squeeze coming - IMO',Bullish
80996569,AAPL,2017-04-24T18:16:41Z,b'$TWTR short squeeze coming - IMO',None
80996515,AAPL,2017-04-24T18:16:24Z,b'$TWTR short squeeze coming - IMO',Bullish
80996465,AAPL,2017-04-24T18:15:53Z,b'$TWTR short squeeze coming - IMO',None
80996449,AAPL,2017-04-24T18:15:52Z,b'$TWTR short squeeze coming - IMO',None
80996209,AAPL,2017-04-24T18:13:50Z,b'$TWTR short squeeze coming - IMO',None
80995835,AAPL,2017-04-24T18:10:40Z,b'$TWTR short squeeze coming - IMO',Bullish
80995818,AAPL,2017-04-24T18:10:30Z,b'$TWTR short squeeze coming - IMO',Bullish
80995802,AAPL,2017-04-24T18:10:23Z,b'$TWTR short squeeze coming - IMO',None
